,company,index,company_size,company_year_founded,company_type,company_industry,company_revenue,company_review,company_interview_difficulty,company_benefits,company_location
193,Procter & Gamble,193,10000+ Employees,1837,Company - Public,,$10+ billion (USD),, 3.3,4.0,"Cincinnati, OH"
194,Cummins,194,10000+ Employees,1919,Company - Public,Transportation Equipment Manufacturing,$10+ billion (USD),, 2.8,3.7,"Columbus, IN"
195,NortonLifeLock,195,1001 to 5000 Employees,2019,Company - Public,Computer Hardware & Software,$2 to $5 billion (USD),3.8, 3.0,3.9,"Tempe, AZ"
196,Prudential,196,10000+ Employees,1875,Company - Public,Investment Banking & Asset Management,$10+ billion (USD),, 2.8,4.1,"Newark, NJ"
197,Hewlett-Packard,197,,,,,,,,,
198,Infoshare Systems,198,1 to 50 Employees,null,Company - Private,IT Services,Less than $1 million (USD),,,,"Mission Viejo, CA"
199,Noodle.ai,199,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,$25 to $50 million (USD),, 2.9,3.0,"San Francisco, CA"
200,3M,200,10000+ Employees,1902,Company - Public,Miscellaneous Manufacturing,$10+ billion (USD),, 2.8,4.2,"Saint Paul, MN"
201,EY,201,10000+ Employees,1989,Company - Private,Accounting,$10+ billion (USD),, 2.9,3.9,"London, United Kingdom"
202,Kaizen Analytix,202,1 to 50 Employees,null,Company - Private,Consulting,Less than $1 million (USD),,,,"Atlanta, GA"
203,Point72,203,1001 to 5000 Employees,2014,Company - Private,Investment Banking & Asset Management,Unknown / Non-Applicable,, 3.0,4.6,"Stamford, CT"
204,ANCILE Solutions,204,51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,$10 to $25 million (USD),3.2, 3.2,4.1,"Elkridge, MD"
205,Liberty Mutual Insurance,205,10000+ Employees,1912,Company - Private,Insurance Carriers,$10+ billion (USD),, 2.9,4.0,"Boston, MA"
206,IQVIA,206,10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,$2 to $5 billion (USD),, 2.9,3.7,"Durham, NC"
207,Blend360,207,51 to 200 Employees,2002,Company - Private,Consulting,Unknown / Non-Applicable,, 3.1,3.2,"Columbia, MD"
208,Edmunds.com,208,501 to 1000 Employees,1966,Company - Private,Internet,$100 to $500 million (USD),, 3.0,4.5,"Santa Monica, CA"
209,Anthem,209,10000+ Employees,2004,Company - Public,Insurance Carriers,$10+ billion (USD),, 2.7,3.8,"Indianapolis, IN"
210,Comcast,210,10000+ Employees,1963,Company - Public,,$10+ billion (USD),, 2.6,4.2,"Philadelphia, PA"
211,Pactera,211,10000+ Employees,1995,Company - Private,IT Services,$500 million to $1 billion (USD),, 2.3,3.2,"Beijing, China"
212,Colaberry,212,1 to 50 Employees,null,Unknown,IT Services,Less than $1 million (USD),, 3.0,,"Plano, TX"
213,Crowe,213,1001 to 5000 Employees,1942,Company - Private,Accounting,$500 million to $1 billion (USD),, 2.8,4.1,"Chicago, IL"
214,Amazon Robotics,214,501 to 1000 Employees,null,Subsidiary or Business Segment,Electrical & Electronic Manufacturing,Less than $1 million (USD),, 3.1,3.6,"North Reading, MA"
215,Gartner,215,10000+ Employees,1979,Company - Public,Consulting,$2 to $5 billion (USD),, 3.3,4.3,"Stamford, CT"
216,Natera,216,501 to 1000 Employees,2004,Company - Public,Biotech & Pharmaceuticals,$100 to $500 million (USD),, 2.7,3.8,"San Carlos, CA"
217,Kaiser Permanente,217,10000+ Employees,1945,Nonprofit Organization,Health Care Services & Hospitals,$10+ billion (USD),, 2.9,4.5,"Oakland, CA"
218,Southwest Airlines,218,10000+ Employees,1967,Company - Public,Airlines,$10+ billion (USD),, 2.6,4.5,"Dallas, TX"
219,Amgen,219,10000+ Employees,1980,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),, 2.9,4.4,"Thousand Oaks, CA"
220,Etsy,220,501 to 1000 Employees,2005,Company - Public,Other Retail Stores,$100 to $500 million (USD),, 2.9,4.4,"Brooklyn, NY"
221,Squarespace,221,1001 to 5000 Employees,2003,Company - Private,Internet,Unknown / Non-Applicable,, 3.0,4.7,"New York, NY"
222,Ciber,222,1001 to 5000 Employees,1974,Company - Private,IT Services,Unknown / Non-Applicable,3.1, 2.9,3.4,"Troy, MI"
223,HCL Infosystems,223,5001 to 10000 Employees,1976,Company - Public,Computer Hardware & Software,$5 to $10 million (USD),, 3.0,3.5,"Noida, India"
224,Roche,224,10000+ Employees,1896,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),, 3.0,4.4,"Basel, Switzerland"
225,Jet,225,1001 to 5000 Employees,2014,Company - Private,General Merchandise & Superstores,$1 to $5 million (USD),, 2.9,3.8,"Hoboken, NJ"
226,LMI,226,1001 to 5000 Employees,1961,Nonprofit Organization,Consulting,$100 to $500 million (USD),, 2.3,3.6,"Tysons Corner, VA"
227,Grid Dynamics,227,1001 to 5000 Employees,2006,Company - Private,Enterprise Software & Network Solutions,$50 to $100 million (USD),, 2.9,3.7,"San Ramon, CA"
228,MaxPoint,228,,,,,,,,,
229,CNA,229,1001 to 5000 Employees,1897,Company - Public,Insurance Carriers,$10+ billion (USD),, 2.8,3.7,"Chicago, IL"
230,Zenabi Data,230,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Westport, CT"
231,NIKE,231,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,$10+ billion (USD),, 2.6,4.0,"Beaverton, OR"
232,Hertz,232,10000+ Employees,1918,Company - Public,Car Rental,$5 to $10 billion (USD),3.0, 2.3,3.4,"Estero, FL"
233,Albeado,233,,,,,,,,,
234,Pluralsight,234,1001 to 5000 Employees,2004,Company - Public,Computer Hardware & Software,$100 to $500 million (USD),, 3.0,4.8,"Farmington, UT"
235,Sigma-Aldrich,235,5001 to 10000 Employees,1975,Company - Public,Research & Development,$2 to $5 billion (USD),, 3.0,3.6,"Saint Louis, MO"
236,DataRobot,236,1001 to 5000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.9,3.3,"Boston, MA"
237,CIBO,237,51 to 200 Employees,2015,Company - Private,Computer Hardware & Software,Less than $1 million (USD),, 2.6,4.7,"Cambridge, MA"
238,Abzooba,238,51 to 200 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Milpitas, CA"
239,ProCogia,239,1 to 50 Employees,null,Contract,IT Services,Less than $1 million (USD),, 1.0,,"Surrey, Canada"
240,MassMutual,240,5001 to 10000 Employees,1851,Company - Private,Insurance Carriers,$10+ billion (USD),, 2.5,3.6,"Springfield, MA"
241,Cable One,241,1001 to 5000 Employees,1986,Company - Public,"Cable, Internet & Telephone Providers",$500 million to $1 billion (USD),, 2.5,4.0,"Phoenix, AZ"
242,DuPont,242,10000+ Employees,1802,Company - Public,Chemical Manufacturing,$10+ billion (USD),, 2.9,3.8,"Wilmington, DE"
243,Oscar Health,243,1001 to 5000 Employees,2012,Company - Private,Insurance Agencies & Brokerages,$2 to $5 billion (USD),, 2.9,4.3,"New York, NY"
244,Bosch,244,10000+ Employees,1886,Company - Private,Miscellaneous Manufacturing,$10+ billion (USD),, 2.8,3.9,"Farmington Hills, MI"
245,Indellient,245,51 to 200 Employees,2004,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.5,5.0,"Oakville, Canada"
246,Ayasdi,246,51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,$10 to $25 million (USD),, 2.6,4.3,"Menlo Park, CA"
247,Battelle,247,10000+ Employees,1929,Nonprofit Organization,Research & Development,$5 to $10 billion (USD),, 2.8,3.3,"Columbus, OH"
248,Plume Design,248,51 to 200 Employees,2015,Company - Private,Internet,Unknown / Non-Applicable,, 3.0,4.8,"Palo Alto, CA"
249,C.H. Robinson,249,10000+ Employees,1905,Company - Public,Logistics & Supply Chain,$10+ billion (USD),, 2.7,3.9,"Eden Prairie, MN"
250,Glassdoor,250,501 to 1000 Employees,2007,Company - Private,Internet,Unknown / Non-Applicable,, 3.1,4.5,"Mill Valley, CA"
251,Avanade,251,10000+ Employees,2000,Company - Private,IT Services,$2 to $5 billion (USD),, 2.9,3.8,"Seattle, WA"
252,Paycom,252,1001 to 5000 Employees,1998,Company - Public,Enterprise Software & Network Solutions,$500 million to $1 billion (USD),, 3.0,4.4,"Oklahoma City, OK"
253,TechGenomics,253,,,,,,,,,
254,Stanley Black & Decker,254,10000+ Employees,1843,Company - Public,Industrial Manufacturing,$10+ billion (USD),, 2.8,3.7,"New Britain, CT"
255,Viasat,255,5001 to 10000 Employees,1986,Company - Public,Telecommunications Services,$1 to $2 billion (USD),, 2.8,4.4,"Carlsbad, CA"
256,Verra Mobility,256,501 to 1000 Employees,1987,Company - Public,Transportation Management,Unknown / Non-Applicable,, 2.8,3.5,"Mesa, AZ"
257,Enigma Technologies,257,,,,,,,,,
258,UnitedHealthCare,258,10000+ Employees,null,Company - Public,Health Care Services & Hospitals,Unknown / Non-Applicable,, 2.7,3.4,"Minnetonka, MN"
259,Johns Hopkins University Applied Physics Laboratory,259,5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,$1 to $2 billion (USD),, 2.7,4.7,"Laurel, MD"
260,CLARA analytics,260,1 to 50 Employees,2016,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 3.2,3.7,"Santa Clara, CA"
261,Abbott,261,10000+ Employees,1888,Company - Public,Health Care Services & Hospitals,$10+ billion (USD),, 2.9,4.1,"Abbott Park, IL"
262,"Pandora Media, LLC",262,1001 to 5000 Employees,2000,Company - Public,Radio,$500 million to $1 billion (USD),, 2.8,3.7,"Oakland, CA"
263,UT Southwestern Medical Center,263,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,$1 to $2 billion (USD),, 2.7,4.3,"Dallas, TX"
264,EMC,264,,,,,,,,,
265,MetLife,265,10000+ Employees,1868,Company - Public,Insurance Agencies & Brokerages,$10+ billion (USD),, 2.7,4.0,"New York, NY"
266,HCA Healthcare,266,10000+ Employees,1968,Company - Public,Health Care Services & Hospitals,$10+ billion (USD),, 2.6,3.6,"Nashville, TN"
267,Children's Hospital of Philadelphia,267,1001 to 5000 Employees,1855,Nonprofit Organization,Health Care Services & Hospitals,$50 to $100 million (USD),, 2.8,4.1,"Philadelphia, PA"
268,Elevate Credit,268,501 to 1000 Employees,2014,Company - Public,Lending,$100 to $500 million (USD),, 2.9,4.4,"Fort Worth, TX"
269,Siemens,269,10000+ Employees,1843,Company - Public,Electrical & Electronic Manufacturing,$10+ billion (USD),, 2.9,3.9,"Munich, Germany"
270,Credit Karma,270,1001 to 5000 Employees,2007,Company - Private,Financial Analytics & Research,Unknown / Non-Applicable,, 2.7,4.1,"San Francisco, CA"
271,Citrine Informatics,271,51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,$1 to $5 million (USD),, 3.0,3.7,"Redwood City, CA"
272,Piezos,272,,,,,,,,5.0,
273,CoreLogic,273,5001 to 10000 Employees,2010,Company - Public,IT Services,$1 to $2 billion (USD),, 2.6,3.3,"Irvine, CA"
274,The Richards Group,274,501 to 1000 Employees,1957,Company - Private,Advertising & Marketing,$100 to $500 million (USD),, 2.9,3.3,"Dallas, TX"
275,1010data,275,201 to 500 Employees,2000,Company - Private,Computer Hardware & Software,$50 to $100 million (USD),, 2.8,3.9,"New York, NY"
276,Via Transportation,276,501 to 1000 Employees,2012,Company - Private,Internet,Unknown / Non-Applicable,, 3.0,4.2,"New York, NY"
277,Biogen,277,5001 to 10000 Employees,1978,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),, 2.9,4.5,"Cambridge, MA"
278,DXC Technology,278,10000+ Employees,2017,Company - Public,IT Services,$10+ billion (USD),, 2.7,2.5,"Tysons Corner, VA"
279,GoDaddy,279,5001 to 10000 Employees,1997,Company - Public,Internet,$2 to $5 billion (USD),, 2.6,4.4,"Scottsdale, AZ"
280,Audible,280,1001 to 5000 Employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Unknown / Non-Applicable,, 3.1,3.8,"Newark, NJ"
281,Unity Technologies,281,1001 to 5000 Employees,2005,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 3.0,4.5,"San Francisco, CA"
282,HERE Technologies,282,5001 to 10000 Employees,1984,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 2.8,3.9,"Amsterdam, Netherlands"
283,Stripe,283,1001 to 5000 Employees,2010,Company - Private,Internet,Unknown / Non-Applicable,, 3.0,4.3,"San Francisco, CA"
284,NYC Data Science Academy,284,1 to 50 Employees,2014,Company - Private,Education Training Services,Unknown / Non-Applicable,,,4.5,"New York, NY"
285,Nokia,285,10000+ Employees,1865,Company - Public,Telecommunications Services,$10+ billion (USD),, 2.9,4.0,"Nokia, Finland"
286,Epsilon,286,5001 to 10000 Employees,1969,Subsidiary or Business Segment,Advertising & Marketing,$2 to $5 billion (USD),, 2.7,3.8,"Irving, TX"
287,Rakuten Advertising,287,501 to 1000 Employees,null,Unknown,,Less than $1 million (USD),, 3.2,4.6,"San Mateo, CA"
288,Tapjoy,288,201 to 500 Employees,2007,Company - Private,Internet,$10 to $25 million (USD),, 2.6,4.1,"San Francisco, CA"
289,"NextEra Energy, Inc.",289,10000+ Employees,null,Company - Public,Utilities,$10+ billion (USD),, 2.6,3.6,"Juno Beach, FL"
290,USAA,290,10000+ Employees,1922,Company - Private,Insurance Carriers,$10+ billion (USD),, 2.8,4.5,"San Antonio, TX"
291,Instacart,291,1001 to 5000 Employees,2012,Company - Private,Internet,Unknown / Non-Applicable,, 2.2,1.8,"San Francisco, CA"
292,Vanguard,292,10000+ Employees,1975,Company - Private,Investment Banking & Asset Management,Unknown / Non-Applicable,, 2.9,4.3,"Malvern, PA"
293,UL,293,10000+ Employees,1894,Company - Private,Consulting,$2 to $5 billion (USD),, 2.6,3.8,"Northbrook, IL"
294,OnDeck,294,201 to 500 Employees,2007,Company - Public,Lending,$100 to $500 million (USD),, 2.8,4.3,"New York, NY"
295,Samba TV,295,201 to 500 Employees,2008,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 2.9,3.5,"San Francisco, CA"
296,Best Buy,296,10000+ Employees,1966,Company - Public,Consumer Electronics & Appliances Stores,$10+ billion (USD),, 2.4,3.6,"Richfield, MN"
297,Optimal CAE,297,51 to 200 Employees,1986,Company - Private,Architectural & Engineering Services,$25 to $50 million (USD),, 2.7,1.8,"Plymouth, MI"
298,AspenTech,298,1001 to 5000 Employees,1981,Company - Public,Computer Hardware & Software,$500 million to $1 billion (USD),, 2.8,3.8,"Bedford, MA"
299,Apollo Education Group,299,10000+ Employees,1976,Company - Public,Colleges & Universities,$2 to $5 billion (USD),, 2.8,3.8,"Phoenix, AZ"
300,Chubb,300,10000+ Employees,1792,Company - Public,Insurance Carriers,$10+ billion (USD),, 2.8,3.9,"Zürich, Switzerland"
301,Kemper,301,5001 to 10000 Employees,1990,Company - Public,Insurance Carriers,$2 to $5 billion (USD),, 2.5,4.0,"Chicago, IL"
302,Slack,302,1001 to 5000 Employees,2014,Company - Public,Internet,Unknown / Non-Applicable,, 3.0,4.6,"San Francisco, CA"
303,6sense,303,51 to 200 Employees,2013,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 3.1,3.8,"San Francisco, CA"
304,Centene,304,10000+ Employees,1984,Company - Public,Insurance Carriers,$10+ billion (USD),, 2.7,3.9,"Saint Louis, MO"
305,Pfizer,305,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),, 3.0,4.2,"New York, NY"
306,Excellus BlueCross BlueShield,306,5001 to 10000 Employees,1936,Subsidiary or Business Segment,Insurance Carriers,$1 to $2 billion (USD),, 2.8,4.2,"Rochester, NY"
307,automotiveMastermind,307,201 to 500 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 3.2,3.8,"New York, NY"
308,Medidata Solutions,308,1001 to 5000 Employees,1999,Company - Public,Enterprise Software & Network Solutions,$500 million to $1 billion (USD),, 2.8,4.1,"New York, NY"
309,Pratt & Whitney,309,10000+ Employees,1925,Subsidiary or Business Segment,Aerospace & Defense,$10+ billion (USD),, 2.7,3.6,"East Hartford, CT"
310,Snap,310,1001 to 5000 Employees,2011,Company - Public,Computer Hardware & Software,Unknown / Non-Applicable,, 3.0,4.4,"Santa Monica, CA"
311,CVS Health,311,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,$10+ billion (USD),, 2.2,3.1,"Woonsocket, RI"
312,Nirvana Enterprises,312,1 to 50 Employees,null,Company - Private,IT Services,Less than $1 million (USD),, 2.3,,"Edison, NJ"
313,WeWork,313,10000+ Employees,2010,Company - Private,Membership Organizations,Unknown / Non-Applicable,, 2.6,3.6,"New York, NY"
314,Dropbox,314,1001 to 5000 Employees,2007,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 3.1,4.8,"San Francisco, CA"
315,Genentech,315,10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,$10+ billion (USD),, 3.1,4.3,"South San Francisco, CA"
316,Sprint,316,10000+ Employees,null,Company - Public,Telecommunications Services,$2 to $5 billion (USD),, 2.6,3.8,"Overland Park, KS"
317,TrueMotion,317,51 to 200 Employees,2012,Company - Private,Computer Hardware & Software,$10 to $25 million (USD),, 3.1,3.9,"Boston, MA"
318,Vectra AI,318,201 to 500 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.9,5.0,"San Jose, CA"
319,GroundTruth,319,201 to 500 Employees,2009,Company - Private,,Less than $1 million (USD),, 2.9,4.3,"New York, NY"
320,Citadel,320,1001 to 5000 Employees,1990,Company - Private,,$50 to $100 million (USD),, 3.2,4.5,"Chicago, IL"
321,Datascope Analytics,321,,,,,,,,4.7,
322,ID Analytics,322,51 to 200 Employees,2002,Subsidiary or Business Segment,Enterprise Software & Network Solutions,$25 to $50 million (USD),, 3.2,4.3,"San Diego, CA"
323,Xometry,323,201 to 500 Employees,2013,Company - Private,Enterprise Software & Network Solutions,$50 to $100 million (USD),, 2.2,3.4,"Gaithersburg, MD"
324,Kearney,324,1001 to 5000 Employees,1926,Company - Private,Consulting,$1 to $2 billion (USD),, 3.6,4.2,"Chicago, IL"
325,The Climate Corp,325,501 to 1000 Employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 3.0,4.5,"San Francisco, CA"
326,RichRelevance,326,51 to 200 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 3.0,3.9,"San Francisco, CA"
327,Randstad US,327,1001 to 5000 Employees,null,Subsidiary or Business Segment,Staffing & Outsourcing,Unknown / Non-Applicable,, 2.4,3.0,"Atlanta, GA"
328,PK,328,1001 to 5000 Employees,2004,Company - Private,IT Services,$100 to $500 million (USD),, 3.0,2.6,"Portland, OR"
329,Neal Analytics,329,51 to 200 Employees,2011,Company - Private,IT Services,$10 to $25 million (USD),, 3.4,3.2,"Seattle, WA"
330,KBR,330,10000+ Employees,1901,Company - Public,Energy,$5 to $10 billion (USD),, 2.5,3.5,"Houston, TX"
331,CA Technologies,331,10000+ Employees,null,Unknown,Computer Hardware & Software,Unknown / Non-Applicable,, 2.9,4.0,"San Jose, CA"
332,CME Group,332,1001 to 5000 Employees,2007,Company - Public,Brokerage Services,$2 to $5 billion (USD),, 2.8,4.1,"Chicago, IL"
333,Fareportal,333,1001 to 5000 Employees,2002,Company - Private,Travel Agencies,$2 to $5 billion (USD),, 2.8,2.5,"New York, NY"
334,University of Pittsburgh,334,10000+ Employees,1787,College / University,Colleges & Universities,Less than $1 million (USD),, 2.5,4.3,"Pittsburgh, PA"
335,Reliable Software Resources,335,501 to 1000 Employees,2004,Company - Private,IT Services,$50 to $100 million (USD),, 3.1,2.9,"Northville, MI"
336,Afiniti,336,501 to 1000 Employees,null,Company - Private,Enterprise Software & Network Solutions,$50 to $100 million (USD),, 3.2,2.0,"Washington, DC"
337,Qcentum Technologies,337,,,,,,,,,
338,Hotwire,338,201 to 500 Employees,2000,Company - Public,Travel Agencies,$5 to $10 billion (USD),, 3.1,4.0,"San Francisco, CA"
339,Credit Suisse,339,10000+ Employees,1856,Company - Public,Investment Banking & Asset Management,$10+ billion (USD),, 2.9,4.0,"Zürich, Switzerland"
340,National Oilwell Varco,340,10000+ Employees,1841,Company - Public,Oil & Gas Services,$10+ billion (USD),, 2.6,3.9,"Houston, TX"
341,Sema4,341,501 to 1000 Employees,2017,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,, 2.6,2.5,"Stamford, CT"
